stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 x20 y20 z20 x21 y21 z21 x22 y22 z22 x23 y23 z23 x24 y24 z24 x25 y25 z25 x26 y26 z26 x27 y27 z27 x28 y28 z28 x29 y29 z29 x30 y30 z30 x31 y31 z31 x32 y32 z32 x33 y33 z33 x34 y34 z34 x35 y35 z35 x36 y36 z36 x37 y37 z37 x38 y38 z38 x39 y39 z39 spike 
-238912.117 1.796 363.705 -319.688 -564.735 24.177 -232.581 -371.815 -130.312 -141.856 -179.113 -282.979 -46.382 13.182 -433.237 55.495 204.731 -580.197 166.701 394.799 -722.197 292.621 581.606 -855.876 446.509 758.786 -971.371 662.445 885.293 -1022.279 883.197 831.089 -914.314 1029.505 686.034 -753.436 1145.974 519.794 -587.816 1250.987 344.978 -423.263 1352.385 165.561 -261.399 1454.808 -16.544 -103.226 1561.748 -200.063 50.241 1676.484 -383.850 197.616 1802.532 -566.493 336.904 1943.864 -745.931 465.168 2105.295 -918.713 577.713 2291.655 -1079.022 667.613 2502.402 -1220.857 730.772 2732.237 -1340.431 768.457 2975.891 -1435.014 783.820 3229.292 -1500.726 780.177 3488.678 -1529.714 761.222 3746.594 -1501.751 732.862 3954.232 -1356.432 716.694 3960.008 -1106.848 758.691 3842.104 -885.815 832.236 3685.634 -693.246 915.895 3511.799 -518.539 1004.743 3328.044 -356.115 1096.984 3137.800 -202.836 1191.732 2942.976 -56.697 1288.453 2744.733 83.654 1386.798 2543.807 219.128 1486.533 2340.758 350.494 1587.458 2135.950 478.263 1689.443 1763.763 700.573 1875.319 1 
-184634.104 1.649 699.354 38.479 1286.677 52.944 -103.889 1066.929 63.683 -248.372 848.743 77.512 -395.632 632.719 95.356 -546.623 419.810 118.568 -702.993 211.855 149.549 -867.648 12.745 192.756 -1047.030 -165.524 259.508 -1248.252 -261.520 384.081 -1381.804 -130.776 552.592 -1430.485 89.656 684.382 -1452.819 325.776 795.645 -1466.592 567.169 896.669 -1479.031 810.995 991.883 -1494.468 1055.955 1083.685 -1516.307 1301.115 1173.615 -1547.980 1545.470 1262.770 -1593.424 1787.578 1352.026 -1657.413 2025.115 1442.058 -1746.269 2253.959 1533.244 -1867.350 2466.971 1625.311 -2021.957 2657.023 1717.493 -2204.678 2820.273 1809.712 -2409.208 2954.587 1902.861 -2630.089 3057.070 1999.053 -2861.656 3121.456 2102.549 -3093.125 3130.568 2222.739 -3267.723 3029.985 2377.309 -3233.715 2823.000 2519.047 -3080.249 2632.417 2610.109 -2890.699 2464.670 2677.165 -2684.905 2312.001 2731.719 -2469.744 2169.987 2778.557 -2248.379 2036.058 2820.088 -2022.573 1908.532 2857.732 -1793.404 1786.261 2892.389 -1561.556 1668.458 2924.645 -1327.557 1554.452 2954.963 -1091.751 1443.795 2983.646 -663.608 1251.815 3031.931 0 
-8118504.564 0.701 718.075 -552.162 -4.839 459.049 -561.534 -265.932 438.660 -572.805 -526.644 414.705 -586.506 -786.761 386.033 -603.407 -1045.893 350.940 -624.853 -1303.206 306.368 -653.303 -1556.654 246.553 -694.861 -1798.740 156.659 -766.883 -1978.819 -9.499 -855.591 -1927.402 -239.310 -918.798 -1756.908 -427.101 -968.035 -1560.211 -592.983 -1009.385 -1354.923 -750.505 -1045.268 -1146.983 -905.893 -1076.821 -939.608 -1062.964 -1104.595 -735.256 -1224.631 -1128.739 -536.468 -1393.633 -1149.125 -346.423 -1572.841 -1165.352 -169.481 -1765.330 -1176.621 -12.337 -1974.516 -1181.804 115.167 -2203.048 -1181.207 206.173 -2448.483 -1177.213 260.008 -2704.662 -1173.048 277.942 -2965.833 -1172.957 260.194 -3227.040 -1183.916 204.197 -3482.431 -1221.442 100.526 -3718.970 -1330.553 -69.781 -3872.538 -1514.130 -230.042 -3803.943 -1684.670 -318.205 -3626.999 -1839.626 -369.221 -3422.180 -1985.033 -399.379 -3206.351 -2124.073 -415.813 -2984.870 -2258.507 -422.269 -2760.037 -2389.440 -421.047 -2533.049 -2517.600 -413.661 -2304.597 -2643.475 -401.118 -2075.099 -2767.463 -384.253 -1844.850 -2889.829 -363.618 -1614.040 -3106.699 -318.463 -1197.599 1 
-2821651.699 1.602 2980.173 1526.351 -5.000 -2697.885 1483.273 110.344 -2929.214 1439.943 229.278 -3158.668 1396.365 352.901 -3385.580 1352.580 482.809 -3608.903 1308.706 621.809 -3826.644 1265.122 774.991 -4034.630 1223.361 954.583 -4220.148 1194.154 1188.241 -4319.015 1212.670 1399.208 -4183.089 1257.169 1522.165 -3956.748 1309.967 1612.011 -3716.392 1368.017 1688.924 -3472.711 1430.605 1761.278 -3228.745 1497.682 1833.943 -2986.069 1569.493 1910.541 -2745.977 1646.564 1994.439 -2510.006 1729.622 2089.264 -2280.316 1819.528 2199.166 -2060.174 1917.256 2329.311 -1855.012 2023.262 2485.227 -1673.453 2135.188 2667.353 -1522.378 2248.346 2871.282 -1403.424 2357.763 3092.529 -1316.092 2457.684 3328.009 -1260.335 2539.076 3575.725 -1238.133 2581.233 3832.555 -1257.302 2515.110 4063.353 -1340.085 2295.872 4119.198 -1453.686 2057.583 4049.804 -1534.734 1828.495 3937.594 -1593.829 1607.120 3805.162 -1639.544 1391.524 3660.794 -1676.041 1180.405 3508.419 -1705.620 972.860 3350.269 -1729.747 768.254 3187.728 -1749.412 566.146 3021.681 -1765.284 366.155 2852.815 -1777.936 168.027 2681.581 -1787.746 -184.616 2368.525 -1799.288 0 
-262042.523 1.198 222.248 -221.506 -7.377 16.581 -437.177 -114.221 -87.070 -651.211 -220.703 -194.415 -862.983 -326.732 -306.578 -1071.509 -432.168 -425.184 -1274.890 -536.722 -553.095 -1469.131 -639.727 -695.514 -1642.000 -738.740 -865.003 -1731.697 -816.345 -1091.180 -1596.363 -809.796 -1303.236 -1373.927 -759.577 -1431.020 -1136.653 -701.824 -1525.870 -894.402 -643.891 -1607.261 -649.788 -588.585 -1683.268 -403.978 -537.740 -1758.525 -157.803 -493.022 -1836.406 87.835 -456.395 -1919.961 331.608 -430.362 -2012.402 571.328 -418.219 -2117.335 803.051 -424.673 -2239.166 1019.842 -455.697 -2382.518 1214.609 -512.909 -2547.786 1383.361 -592.253 -2731.550 1523.794 -688.336 -2930.537 1632.879 -795.654 -3142.969 1704.218 -907.238 -3368.668 1720.396 -1009.102 -3608.395 1625.549 -1047.168 -3840.877 1418.512 -934.404 -3933.123 1224.287 -761.474 -3909.943 1051.756 -575.588 -3844.794 893.778 -384.864 -3759.341 746.149 -191.638 -3661.744 606.399 3.139 -3555.931 472.906 198.980 -3444.153 344.555 395.606 -3327.818 220.584 592.850 -3207.829 100.338 790.586 -3084.893 -16.620 988.736 -2959.473 -220.065 1346.250 -2728.632 1 
-10192.799 1.452 611.879 236.087 27.415 -622.439 12.405 -107.604 -602.216 -210.536 -243.196 -578.044 -432.452 -379.433 -548.672 -652.880 -516.370 -512.248 -870.878 -654.008 -465.459 -1084.307 -792.044 -402.077 -1285.844 -928.384 -306.117 -1429.916 -1041.350 -128.056 -1375.138 -1036.750 117.513 -1223.993 -960.374 316.638 -1053.899 -864.138 491.101 -879.028 -758.907 655.456 -704.216 -648.273 816.307 -532.229 -533.936 977.610 -365.335 -416.931 1142.303 -206.045 -298.041 1313.045 -57.568 -178.109 1492.543 75.699 -58.301 1683.618 187.106 59.446 1889.297 267.239 171.704 2111.756 310.672 274.199 2348.672 318.854 363.199 2594.749 295.260 435.348 2845.323 242.841 486.093 3096.761 163.594 506.993 3345.283 58.757 477.398 3582.433 -57.115 335.622 3758.406 -96.697 86.221 3740.472 -65.004 -140.650 3615.209 -4.853 -342.151 3459.184 70.232 -527.684 3290.143 154.877 -702.275 3114.049 246.376 -868.758 2933.562 343.109 -1028.941 2750.116 444.026 -1184.037 2564.560 548.435 -1334.866 2377.421 655.765 -1482.112 2189.085 765.641 -1626.232 1999.799 968.831 -1879.005 1657.287 0 
-6102969.382 1.957 464.805 -4.954 -13.678 1798.233 -51.624 -6.810 1540.459 -102.280 0.117 1283.441 -158.162 7.189 1027.516 -221.086 14.551 773.247 -294.288 22.490 521.781 -383.782 31.605 275.751 -504.730 43.588 44.144 -700.987 64.610 -117.922 -939.079 97.244 -43.269 -1117.143 129.473 145.366 -1266.937 162.794 357.692 -1404.838 198.797 577.586 -1537.990 238.496 799.772 -1670.563 282.809 1021.429 -1805.592 332.713 1240.391 -1945.767 389.454 1454.383 -2093.823 454.596 1660.500 -2252.648 530.068 1854.671 -2425.455 618.355 2030.521 -2614.922 721.921 2178.464 -2819.712 839.453 2291.460 -3035.682 965.897 2368.340 -3259.268 1095.623 2409.936 -3488.188 1222.512 2416.129 -3720.967 1337.681 2384.026 -3954.646 1421.431 2303.486 -4156.976 1403.719 2151.032 -4201.057 1213.111 1990.362 -4137.809 980.020 1891.197 -4039.294 746.326 1826.028 -3924.631 515.240 1780.349 -3800.687 286.715 1747.638 -3670.666 60.397 1724.424 -3536.359 -164.054 1708.557 -3398.860 -386.911 1698.617 -3258.864 -608.378 1693.650 -3116.898 -828.644 1692.864 -2973.307 -1047.838 1695.734 -2711.600 -1440.057 1708.691 1 
-343542.827 0.593 93.188 -19.529 91.048 3.612 -187.901 -11.161 -169.238 -359.315 -112.645 -339.502 -534.679 -213.075 -506.331 -715.291 -311.918 -668.430 -903.394 -408.140 -823.399 -1102.922 -499.542 -966.427 -1322.663 -579.387 -1083.697 -1573.843 -614.359 -1113.862 -1745.638 -532.150 -949.381 -1809.729 -405.769 -729.724 -1838.121 -270.508 -507.172 -1853.033 -130.567 -286.129 -1863.338 13.278 -67.327 -1874.143 160.976 148.867 -1889.264 312.719 361.970 -1912.326 468.862 571.132 -1947.347 629.775 774.918 -1999.116 795.660 970.944 -2073.921 966.238 1155.028 -2179.182 1139.770 1320.309 -2317.027 1311.894 1461.352 -2483.689 1477.220 1577.253 -2674.818 1630.757 1669.150 -2887.553 1766.779 1738.328 -3120.654 1875.938 1785.539 -3373.479 1935.913 1809.817 -3618.955 1870.950 1806.065 -3705.809 1633.932 1786.881 -3663.788 1376.453 1776.653 -3574.727 1130.228 1774.192 -3462.643 893.449 1777.043 -3336.625 663.821 1783.834 -3201.068 439.789 1793.742 -3058.513 220.264 1806.208 -2910.554 4.477 1820.835 -2758.223 -208.111 1837.349 -2602.333 -417.970 1855.501 -2443.417 -625.414 1875.126 -2151.114 -993.608 1913.683 1 
-575574.397 1.849 645.987 -768.561 -751.798 -220.852 -516.659 -686.630 -252.015 -263.803 -625.399 -283.425 -9.795 -569.369 -315.218 245.591 -520.421 -347.606 502.621 -481.969 -380.982 761.331 -460.560 -416.103 1019.671 -473.680 -454.861 1245.211 -584.012 -501.582 1272.545 -830.743 -542.842 1171.973 -1070.433 -570.459 1038.181 -1294.281 -595.414 892.359 -1510.413 -621.659 742.127 -1723.101 -651.091 591.666 -1934.938 -685.119 444.088 -2147.755 -725.086 302.440 -2363.023 -772.590 170.316 -2581.978 -829.599 52.399 -2805.507 -898.552 -44.467 -3033.814 -982.651 -110.752 -3265.284 -1085.311 -140.498 -3495.796 -1205.726 -133.846 -3721.215 -1338.708 -92.444 -3938.775 -1478.361 -16.505 -4146.494 -1618.466 96.884 -4342.028 -1750.337 257.686 -4518.911 -1855.036 480.968 -4639.649 -1862.818 663.978 -4617.094 -1689.359 751.349 -4523.605 -1461.782 793.458 -4412.248 -1228.562 810.996 -4294.279 -995.301 812.705 -4173.221 -762.927 803.086 -4050.548 -531.576 784.857 -3927.000 -301.203 759.786 -3802.984 -71.722 729.040 -3678.740 156.947 693.575 -3554.422 384.892 654.021 -3430.125 612.177 574.195 -3206.637 1019.823 1 
-11867.166 0.867 835.866 -5.952 -1303.317 -46.917 -88.507 -1104.014 101.864 -169.616 -906.606 253.929 -248.731 -711.734 410.249 -325.001 -520.384 572.220 -396.836 -334.420 742.262 -461.017 -157.685 924.658 -508.354 -1.706 1129.214 -499.681 76.900 1372.052 -376.177 -46.771 1553.098 -224.697 -244.458 1632.487 -70.716 -451.815 1676.351 85.322 -660.227 1706.053 244.198 -867.229 1730.150 406.755 -1071.438 1753.496 573.831 -1271.612 1779.641 746.365 -1466.179 1811.846 925.339 -1652.914 1853.636 1111.637 -1828.519 1909.133 1305.814 -1987.648 1983.651 1506.999 -2122.160 2083.362 1710.901 -2226.462 2210.114 1911.487 -2300.619 2361.136 2103.164 -2346.795 2533.406 2279.892 -2367.026 2725.504 2432.333 -2362.633 2938.161 2538.403 -2333.598 3174.831 2518.550 -2283.070 3422.915 2300.259 -2255.382 3548.102 2039.370 -2263.015 3554.777 1781.627 -2287.275 3515.480 1529.395 -2321.010 3453.219 1281.959 -2361.138 3376.924 1038.524 -2406.028 3290.968 798.438 -2454.663 3197.899 561.204 -2506.364 3099.324 326.459 -2560.672 2996.287 93.870 -2617.200 2889.614 -136.786 -2675.689 2779.846 -547.751 -2785.202 2575.862 0 
