stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-86356.060 1.269 378.397 -59.206 -373.653 7.906 318.072 -855.436 441.550 695.350 -1337.219 875.193 1072.628 -1819.003 1308.836 1442.360 -2291.150 1733.807 0 
-13884.366 0.932 1743.377 -1538.397 -504.046 -647.022 -1740.337 -1221.585 -729.836 -1942.278 -1939.124 -812.650 -2144.219 -2656.663 -895.463 -2342.120 -3359.851 -976.621 0 
-671629.945 1.225 2059.800 -6.028 299.453 -2037.908 26.701 91.603 -2757.788 59.431 -116.247 -3477.668 92.161 -324.097 -4197.548 124.236 -527.790 -4903.030 0 
-942418.730 1.410 710.205 -1167.804 337.162 -359.157 -586.801 -120.028 -485.304 -5.797 -577.217 -611.452 575.206 -1034.406 -737.599 1144.589 -1482.451 -861.224 1 
-118587.031 0.745 307.990 -486.751 66.071 -16.368 151.479 352.485 -286.791 789.710 638.898 -557.215 1427.941 925.311 -827.639 2053.407 1205.996 -1092.654 0 
-32765.648 1.567 20.938 -5.698 -59.137 -12.842 38.632 682.870 -112.639 82.962 1424.878 -212.436 127.292 2166.886 -312.234 170.736 2894.053 -410.035 1 
-8885888.912 0.728 130.025 -4.034 -81.168 -101.499 -693.017 -377.404 -108.226 -1382.001 -673.641 -114.953 -2070.985 -969.877 -121.680 -2746.189 -1260.188 -128.272 1 
-17413.328 1.950 151.729 -186.263 -6.913 -6.051 219.805 524.359 333.593 625.873 1055.632 673.238 1031.941 1586.904 1012.882 1429.888 2107.551 1345.733 0 
-2518587.166 0.597 1690.090 101.034 1685.952 -61.343 -605.632 1725.047 -309.526 -1312.298 1764.142 -557.709 -2018.964 1803.238 -805.892 -2711.496 1841.551 -1049.111 0 
-326009.106 0.535 766.499 -30.159 16.663 -1987.169 269.538 7.819 -1299.708 569.235 -1.024 -612.246 868.931 -9.868 75.216 1162.634 -18.535 748.928 0 
-11096.506 1.117 315.355 528.439 -31.599 33.265 -68.186 359.222 265.207 -664.811 750.044 497.148 -1261.437 1140.865 729.090 -1846.129 1523.870 956.393 0 
-109283.054 1.967 1973.117 228.913 1959.788 -4.185 386.655 2424.538 562.936 544.396 2889.287 1130.056 702.137 3354.036 1697.177 856.724 3809.491 2252.955 0 
-221052.736 1.573 2514.727 -2193.283 82.560 -1227.415 -2494.612 721.773 -976.203 -2795.941 1360.986 -724.990 -3097.269 2000.198 -473.777 -3392.572 2626.627 -227.588 0 
-1376912.944 1.454 482.050 102.470 266.924 388.103 288.283 603.575 1032.028 474.097 940.226 1675.953 659.910 1276.877 2319.878 842.007 1606.795 2950.924 1 
-4141505.561 1.983 1826.619 431.132 1732.136 -412.775 875.481 1434.857 -938.779 1319.829 1137.578 -1464.782 1764.177 840.299 -1990.786 2199.639 548.966 -2506.269 0 
