stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-4009636.576 1.050 111.896 80.820 72.139 -28.015 141.621 172.085 -336.583 202.422 272.031 -645.150 263.222 371.977 -953.718 324.023 471.923 -1262.286 384.824 571.870 -1570.854 445.624 671.816 -1879.421 506.425 771.762 -2187.989 567.226 871.708 -2496.557 630.790 976.197 -2819.150 1 
-86000.416 1.058 1571.543 385.313 -2007.048 -100.780 574.279 -1760.957 11.608 763.245 -1514.866 123.996 952.212 -1268.775 236.383 1141.178 -1022.683 348.771 1330.144 -776.592 461.158 1519.110 -530.501 573.546 1708.076 -284.410 685.933 1897.042 -38.319 798.321 2094.598 218.958 915.817 0 
-232907.178 0.742 481.059 106.561 -5.410 -469.077 35.363 -273.803 -647.393 -35.836 -542.195 -825.708 -107.034 -810.588 -1004.023 -178.232 -1078.980 -1182.338 -249.430 -1347.372 -1360.654 -320.629 -1615.765 -1538.969 -391.827 -1884.157 -1717.284 -463.025 -2152.550 -1895.600 -537.459 -2433.142 -2082.020 1 
-1056176.089 1.550 2763.372 2765.007 -34.781 80.325 2757.469 -133.715 -234.405 2749.930 -232.649 -549.136 2742.392 -331.582 -863.866 2734.854 -430.516 -1178.597 2727.315 -529.450 -1493.327 2719.777 -628.383 -1808.058 2712.239 -727.317 -2122.788 2704.701 -826.251 -2437.519 2696.820 -929.682 -2766.555 0 
-41787.640 0.995 2912.625 1591.164 2376.992 -549.079 1624.495 2384.426 -877.307 1657.826 2391.860 -1205.535 1691.158 2399.293 -1533.764 1724.489 2406.727 -1861.992 1757.820 2414.161 -2190.220 1791.151 2421.594 -2518.448 1824.482 2429.028 -2846.677 1857.813 2436.462 -3174.905 1892.659 2444.233 -3518.052 0 
-45793.796 1.225 245.656 -13.486 -235.813 -67.507 272.719 -400.035 -71.694 558.925 -564.258 -75.882 845.130 -728.481 -80.070 1131.335 -892.703 -84.257 1417.540 -1056.926 -88.445 1703.745 -1221.148 -92.632 1989.951 -1385.371 -96.820 2276.156 -1549.593 -101.007 2575.370 -1721.281 -105.385 0 
-1872712.206 0.815 3082.838 2512.192 -1786.019 53.996 2583.199 -1727.393 370.889 2654.205 -1668.768 687.782 2725.212 -1610.142 1004.675 2796.218 -1551.517 1321.568 2867.224 -1492.891 1638.461 2938.231 -1434.265 1955.354 3009.237 -1375.640 2272.247 3080.244 -1317.014 2589.140 3154.478 -1255.724 2920.437 0 
-225484.101 1.029 2006.940 -2666.930 5.200 5.076 -2449.017 245.113 67.174 -2231.105 485.025 129.271 -2013.192 724.937 191.369 -1795.279 964.850 253.467 -1577.367 1204.762 315.564 -1359.454 1444.674 377.662 -1141.541 1684.587 439.760 -923.629 1924.499 501.857 -695.811 2175.317 566.778 0 
-204971.314 1.490 382.925 -375.198 35.127 -68.003 -459.350 -207.735 -274.973 -543.501 -450.596 -481.944 -627.653 -693.458 -688.914 -711.804 -936.320 -895.884 -795.956 -1179.182 -1102.855 -880.107 -1422.043 -1309.825 -964.259 -1664.905 -1516.795 -1048.410 -1907.767 -1723.766 -1136.387 -2161.668 -1940.144 1 
-97248.649 1.794 285.510 26.212 -22.909 -283.856 272.796 195.042 -259.484 519.380 412.992 -235.113 765.964 630.943 -210.742 1012.548 848.893 -186.371 1259.131 1066.844 -161.999 1505.715 1284.794 -137.628 1752.299 1502.745 -113.257 1998.883 1720.696 -88.886 2256.675 1948.553 -63.407 1 
