stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-20940.025 0.576 491.700 491.650 3.635 5.973 -1842.424 1980.052 -113.935 0 
-1606790.963 1.326 223.486 -223.067 4.059 13.068 514.379 -210.518 -2949.808 1 
-152441.839 1.780 1270.021 -20.782 4.686 -1427.284 1420.510 2267.484 -2900.691 0 
-20283.350 0.983 2084.999 -2885.616 -12.818 7.086 -577.137 -127.073 -1999.497 0 
-68113.144 1.274 151.893 337.703 4.573 49.630 -18.907 2895.080 991.067 1 
-821008.264 1.935 1921.028 76.208 -1922.338 -99.553 3006.930 -2752.409 201.030 0 
-79448.197 0.995 2180.905 2180.899 3.070 4.452 3507.033 -154.009 2758.576 0 
-7444417.381 1.410 22.319 -7.498 -102.460 -24.520 -2423.287 1244.766 -1335.034 1 
-1295066.289 1.499 273.858 -6.896 -9.078 -276.066 -2108.626 -154.917 -2496.418 1 
-87359.377 1.464 9.706 -4.460 6.730 -5.388 -1096.656 558.452 2800.181 1 
-1464309.938 1.932 236.628 31.037 231.570 -37.484 1601.419 -277.556 2539.955 1 
-62641.341 0.973 1057.048 3.317 1101.258 11.446 2817.765 432.636 1011.612 0 
-54308.358 0.927 530.858 525.397 10.473 -75.223 -1491.447 -2282.406 -283.904 0 
-118112.493 0.647 126.690 103.045 7.848 174.375 534.583 2792.568 -1020.453 1 
-54680.223 0.597 104.949 -42.597 1840.269 19.173 1992.366 -410.564 420.650 1 
-9662541.918 1.851 1629.379 -1609.949 159.201 193.897 -197.491 -2551.540 34.672 1 
-220148.098 1.112 1259.061 1254.924 -99.191 -23.678 2977.376 1986.752 1408.280 0 
-3793621.848 0.906 1278.595 -435.848 -1062.300 -562.459 1372.849 -2524.566 -2552.157 1 
-1089053.294 0.868 2648.003 6.070 57.507 2653.638 659.990 -351.591 5615.653 0 
-23141.550 0.522 190.669 -755.428 265.469 -5.393 651.293 2146.266 1957.321 0 
-682565.063 1.305 2200.798 2195.729 -147.035 -25.839 2489.453 1886.318 -2294.695 0 
-372165.437 0.872 393.944 50.130 394.307 -9.878 265.223 -2274.709 1472.888 1 
-611976.434 1.114 2038.950 17.878 -4.394 -2038.867 54.854 2814.678 -847.242 0 
-39756.898 1.961 677.865 809.758 -4.545 -287.910 567.585 -3012.802 -798.050 0 
-3440847.656 1.908 1360.067 -36.319 -2459.407 -18.859 -924.868 319.421 -944.654 1 
-43611.057 1.453 31.137 18.063 7.422 24.252 348.026 -3033.375 -90.548 1 
-152649.890 1.945 2047.938 2200.484 3.792 -1396.442 1394.120 663.727 1481.538 0 
-450417.015 0.637 1451.023 -52.379 10.093 -1450.042 798.673 2647.027 -149.737 0 
-2375168.874 1.521 442.173 597.786 95.072 -440.754 -1691.126 -1327.468 -1891.879 1 
-171360.268 0.713 1200.686 845.992 842.852 -124.675 -2050.851 1775.158 203.361 0 
-23683.455 1.008 426.291 -362.880 223.676 -3.288 -2615.678 -1772.178 -560.039 0 
-1667328.586 0.713 917.437 -144.363 -39.203 -905.159 2358.447 673.527 -2516.513 1 
-9567085.774 1.052 1163.300 -1157.386 96.177 66.898 216.162 1254.596 -2410.992 1 
-68989.430 1.593 2182.864 300.583 2162.055 -7.963 2458.613 4027.108 1102.437 0 
-3992046.134 1.518 3729.384 2918.365 -3.006 2825.652 1766.197 2814.969 3141.924 0 
-3716139.245 1.709 109.614 89.639 15.739 145.122 -516.896 2171.549 -1941.287 1 
-2755732.974 1.520 165.564 3.526 165.492 -3.385 2143.296 2283.280 -555.529 1 
-64316.935 1.315 313.056 16.946 -311.437 26.900 44.479 2429.514 -1335.059 0 
-114964.657 1.976 222.801 13.673 -579.820 -14.919 -2583.717 138.831 1436.152 1 
-1295947.442 1.814 161.858 25.029 30.419 -156.991 -577.967 -2890.548 -844.635 1 
-42291.532 1.437 185.380 5.092 175.198 -60.376 2722.011 914.867 1139.518 1 
-106272.451 0.601 21.319 -10.206 -14.888 -11.343 -369.705 -1721.486 2503.967 1 
-1081155.932 1.372 55.649 -76.054 -3.712 -20.323 948.249 2834.640 492.574 1 
-88114.894 0.912 1496.356 55.981 1538.051 -132.598 -2615.123 388.455 -1087.657 0 
-2462702.545 0.612 983.413 1864.359 1829.538 -1886.064 1556.774 -658.270 -129.731 0 
-234176.558 1.420 435.182 444.049 168.909 -18.145 -2453.894 -315.254 839.771 0 
-16482.201 1.967 1657.351 -372.468 1171.674 -1111.422 -2973.617 2222.932 -2335.099 0 
-12459.006 1.213 63.175 57.746 6.249 -24.849 913.737 -305.588 -2946.927 1 
-408355.316 1.769 640.497 8.065 843.511 -1329.250 1941.664 -1028.324 -2787.307 1 
-15574.795 0.810 51.740 21.402 -47.009 3.031 1959.583 147.315 2364.005 1 
-380894.004 1.931 559.463 -15.317 -551.644 -91.941 667.901 595.234 2662.399 1 
-945097.041 1.293 1585.778 -1585.698 15.022 5.242 -2143.630 -2055.461 -2178.864 0 
-188964.963 0.675 781.347 -705.093 128.926 311.006 -3238.450 1368.207 1500.454 0 
-4621087.220 0.819 1853.462 24.342 2742.357 115.855 -1703.113 4049.953 2277.936 0 
