stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 spike 
-4312444.033 1.001 638.944 -5.363 -394.535 731.465 55.790 -435.562 600.786 116.943 -476.588 470.106 178.096 -517.615 339.426 239.249 -558.641 208.747 300.402 -599.668 78.067 361.555 -640.695 -52.612 422.708 -681.721 -183.292 483.861 -722.748 -313.971 545.014 -763.774 -444.651 606.167 -804.801 -575.330 667.319 -845.827 -706.010 728.472 -886.854 -836.689 789.625 -927.880 -967.369 850.778 -968.907 -1098.049 911.931 -1009.933 -1228.728 973.084 -1050.960 -1359.408 1034.237 -1091.986 -1490.087 1095.390 -1133.013 -1620.767 1211.580 -1210.963 -1869.058 1 
-17632.823 1.689 2300.285 -10.536 -140.436 -2295.970 102.036 -71.196 -2366.917 214.607 -1.956 -2437.864 327.178 67.284 -2508.812 439.749 136.524 -2579.759 552.321 205.764 -2650.707 664.892 275.004 -2721.654 777.463 344.244 -2792.602 890.034 413.484 -2863.549 1002.606 482.724 -2934.496 1115.177 551.964 -3005.444 1227.748 621.204 -3076.391 1340.319 690.444 -3147.339 1452.891 759.684 -3218.286 1565.462 828.924 -3289.233 1678.033 898.164 -3360.181 1790.605 967.404 -3431.128 1903.176 1036.644 -3502.076 2015.747 1105.884 -3573.023 2229.632 1237.440 -3707.823 0 
-5959447.689 1.378 1241.799 -6.978 -1241.759 7.129 -12.241 -1363.751 -79.993 -17.504 -1485.742 -167.116 -22.767 -1607.734 -254.239 -28.030 -1729.726 -341.361 -33.293 -1851.717 -428.484 -38.556 -1973.709 -515.606 -43.819 -2095.701 -602.729 -49.082 -2217.692 -689.852 -54.345 -2339.684 -776.974 -59.608 -2461.675 -864.097 -64.871 -2583.667 -951.219 -70.134 -2705.659 -1038.342 -75.396 -2827.650 -1125.465 -80.659 -2949.642 -1212.587 -85.922 -3071.633 -1299.710 -91.185 -3193.625 -1386.832 -96.448 -3315.617 -1473.955 -101.711 -3437.608 -1561.078 -111.711 -3669.392 -1726.610 1 
-1011538.028 1.916 80.620 3.358 8.651 -80.084 106.564 117.432 -76.180 209.770 226.213 -72.276 312.976 334.994 -68.372 416.182 443.775 -64.468 519.387 552.556 -60.565 622.593 661.337 -56.661 725.799 770.118 -52.757 829.005 878.899 -48.853 932.211 987.680 -44.949 1035.417 1096.460 -41.046 1138.623 1205.241 -37.142 1241.829 1314.022 -33.238 1345.035 1422.803 -29.334 1448.241 1531.584 -25.430 1551.447 1640.365 -21.526 1654.653 1749.146 -17.623 1757.859 1857.927 -13.719 1861.065 1966.708 -9.815 2057.156 2173.392 -2.398 1 
-84230.874 1.163 974.189 1581.729 19.156 -962.366 1513.679 10.761 -828.954 1445.629 2.366 -695.542 1377.578 -6.029 -562.130 1309.528 -14.423 -428.718 1241.478 -22.818 -295.307 1173.428 -31.213 -161.895 1105.378 -39.607 -28.483 1037.328 -48.002 104.929 969.278 -56.397 238.341 901.227 -64.791 371.752 833.177 -73.186 505.164 765.127 -81.581 638.576 697.077 -89.975 771.988 629.027 -98.370 905.399 560.977 -106.765 1038.811 492.927 -115.159 1172.223 424.876 -123.554 1305.635 356.826 -131.949 1439.047 227.531 -147.899 1692.529 0 
-10256.482 1.190 1320.005 -12.828 632.597 1158.477 -139.447 614.715 1236.886 -266.066 596.833 1315.295 -392.684 578.952 1393.704 -519.303 561.070 1472.113 -645.922 543.189 1550.522 -772.540 525.307 1628.931 -899.159 507.425 1707.340 -1025.777 489.544 1785.749 -1152.396 471.662 1864.158 -1279.015 453.780 1942.567 -1405.633 435.899 2020.976 -1532.252 418.017 2099.385 -1658.871 400.135 2177.794 -1785.489 382.254 2256.203 -1912.108 364.372 2334.612 -2038.727 346.491 2413.021 -2165.345 328.609 2491.430 -2291.964 310.727 2569.839 -2532.539 276.752 2718.816 0 
-25319.375 0.904 1078.191 -603.475 -893.365 -14.602 -731.552 -966.850 11.785 -859.630 -1040.334 38.172 -987.707 -1113.818 64.560 -1115.784 -1187.303 90.947 -1243.861 -1260.787 117.334 -1371.938 -1334.272 143.722 -1500.015 -1407.756 170.109 -1628.092 -1481.241 196.496 -1756.169 -1554.725 222.884 -1884.246 -1628.210 249.271 -2012.324 -1701.694 275.658 -2140.401 -1775.178 302.046 -2268.478 -1848.663 328.433 -2396.555 -1922.147 354.820 -2524.632 -1995.632 381.207 -2652.709 -2069.116 407.595 -2780.786 -2142.601 433.982 -2908.863 -2216.085 460.369 -3152.210 -2355.706 510.505 0 
-4177704.347 1.975 938.319 -9.191 -691.018 -634.706 -73.273 -714.651 -768.254 -137.355 -738.284 -901.801 -201.437 -761.917 -1035.349 -265.518 -785.550 -1168.897 -329.600 -809.183 -1302.445 -393.682 -832.815 -1435.993 -457.764 -856.448 -1569.540 -521.846 -880.081 -1703.088 -585.927 -903.714 -1836.636 -650.009 -927.347 -1970.184 -714.091 -950.980 -2103.731 -778.173 -974.613 -2237.279 -842.255 -998.246 -2370.827 -906.336 -1021.879 -2504.375 -970.418 -1045.512 -2637.923 -1034.500 -1069.145 -2771.470 -1098.582 -1092.778 -2905.018 -1162.664 -1116.410 -3038.566 -1284.419 -1161.313 -3292.307 1 
-4009636.576 1.050 111.896 80.820 72.139 -28.015 108.457 117.569 -168.273 136.094 162.999 -308.531 163.730 208.429 -448.789 191.367 253.859 -589.047 219.004 299.289 -729.305 246.640 344.719 -869.563 274.277 390.149 -1009.821 301.914 435.579 -1150.079 329.550 481.009 -1290.337 357.187 526.439 -1430.596 384.824 571.870 -1570.854 412.460 617.300 -1711.112 440.097 662.730 -1851.370 467.734 708.160 -1991.628 495.370 753.590 -2131.886 523.007 799.020 -2272.144 550.644 844.450 -2412.402 578.280 889.880 -2552.660 630.790 976.197 -2819.150 1 
-86000.416 1.058 1571.543 385.313 -2007.048 -100.780 471.207 -1895.188 -49.694 557.101 -1783.329 1.391 642.994 -1671.469 52.476 728.888 -1559.609 103.561 814.782 -1447.750 154.647 900.675 -1335.890 205.732 986.569 -1224.031 256.817 1072.463 -1112.171 307.902 1158.356 -1000.312 358.988 1244.250 -888.452 410.073 1330.144 -776.592 461.158 1416.038 -664.733 512.244 1501.931 -552.873 563.329 1587.825 -441.014 614.414 1673.719 -329.154 665.499 1759.612 -217.294 716.585 1845.506 -105.435 767.670 1931.400 6.425 818.755 2094.598 218.958 915.817 0 
