stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 x20 y20 z20 x21 y21 z21 x22 y22 z22 x23 y23 z23 x24 y24 z24 x25 y25 z25 x26 y26 z26 x27 y27 z27 x28 y28 z28 x29 y29 z29 x30 y30 z30 x31 y31 z31 x32 y32 z32 x33 y33 z33 x34 y34 z34 x35 y35 z35 x36 y36 z36 x37 y37 z37 x38 y38 z38 x39 y39 z39 spike 
-4312444.033 1.001 638.944 -5.363 -394.535 731.465 25.214 -415.049 666.125 55.790 -435.562 600.786 86.367 -456.075 535.446 116.943 -476.588 470.106 147.520 -497.102 404.766 178.096 -517.615 339.426 208.673 -538.128 274.087 239.249 -558.641 208.747 269.826 -579.155 143.407 300.402 -599.668 78.067 330.978 -620.181 12.728 361.555 -640.695 -52.612 392.131 -661.208 -117.952 422.708 -681.721 -183.292 453.284 -702.234 -248.632 483.861 -722.748 -313.971 514.437 -743.261 -379.311 545.014 -763.774 -444.651 575.590 -784.287 -509.991 606.167 -804.801 -575.330 636.743 -825.314 -640.670 667.319 -845.827 -706.010 697.896 -866.340 -771.350 728.472 -886.854 -836.689 759.049 -907.367 -902.029 789.625 -927.880 -967.369 820.202 -948.394 -1032.709 850.778 -968.907 -1098.049 881.355 -989.420 -1163.388 911.931 -1009.933 -1228.728 942.508 -1030.447 -1294.068 973.084 -1050.960 -1359.408 1003.660 -1071.473 -1424.747 1034.237 -1091.986 -1490.087 1064.813 -1112.500 -1555.427 1095.390 -1133.013 -1620.767 1125.966 -1153.526 -1686.107 1156.543 -1174.040 -1751.446 1211.580 -1210.963 -1869.058 1 
-17632.823 1.689 2300.285 -10.536 -140.436 -2295.970 45.750 -105.816 -2331.443 102.036 -71.196 -2366.917 158.321 -36.576 -2402.391 214.607 -1.956 -2437.864 270.893 32.664 -2473.338 327.178 67.284 -2508.812 383.464 101.904 -2544.286 439.749 136.524 -2579.759 496.035 171.144 -2615.233 552.321 205.764 -2650.707 608.606 240.384 -2686.180 664.892 275.004 -2721.654 721.178 309.624 -2757.128 777.463 344.244 -2792.602 833.749 378.864 -2828.075 890.034 413.484 -2863.549 946.320 448.104 -2899.023 1002.606 482.724 -2934.496 1058.891 517.344 -2969.970 1115.177 551.964 -3005.444 1171.463 586.584 -3040.917 1227.748 621.204 -3076.391 1284.034 655.824 -3111.865 1340.319 690.444 -3147.339 1396.605 725.064 -3182.812 1452.891 759.684 -3218.286 1509.176 794.304 -3253.760 1565.462 828.924 -3289.233 1621.748 863.544 -3324.707 1678.033 898.164 -3360.181 1734.319 932.784 -3395.655 1790.605 967.404 -3431.128 1846.890 1002.024 -3466.602 1903.176 1036.644 -3502.076 1959.461 1071.264 -3537.549 2015.747 1105.884 -3573.023 2072.033 1140.504 -3608.497 2128.318 1175.124 -3643.971 2229.632 1237.440 -3707.823 0 
-5959447.689 1.378 1241.799 -6.978 -1241.759 7.129 -9.610 -1302.755 -36.432 -12.241 -1363.751 -79.993 -14.873 -1424.747 -123.555 -17.504 -1485.742 -167.116 -20.136 -1546.738 -210.677 -22.767 -1607.734 -254.239 -25.398 -1668.730 -297.800 -28.030 -1729.726 -341.361 -30.661 -1790.721 -384.922 -33.293 -1851.717 -428.484 -35.924 -1912.713 -472.045 -38.556 -1973.709 -515.606 -41.187 -2034.705 -559.168 -43.819 -2095.701 -602.729 -46.450 -2156.696 -646.290 -49.082 -2217.692 -689.852 -51.713 -2278.688 -733.413 -54.345 -2339.684 -776.974 -56.976 -2400.680 -820.535 -59.608 -2461.675 -864.097 -62.239 -2522.671 -907.658 -64.871 -2583.667 -951.219 -67.502 -2644.663 -994.781 -70.134 -2705.659 -1038.342 -72.765 -2766.654 -1081.903 -75.396 -2827.650 -1125.465 -78.028 -2888.646 -1169.026 -80.659 -2949.642 -1212.587 -83.291 -3010.638 -1256.148 -85.922 -3071.633 -1299.710 -88.554 -3132.629 -1343.271 -91.185 -3193.625 -1386.832 -93.817 -3254.621 -1430.394 -96.448 -3315.617 -1473.955 -99.080 -3376.612 -1517.516 -101.711 -3437.608 -1561.078 -104.343 -3498.604 -1604.639 -106.974 -3559.600 -1648.200 -111.711 -3669.392 -1726.610 1 
-1011538.028 1.916 80.620 3.358 8.651 -80.084 54.961 63.041 -78.132 106.564 117.432 -76.180 158.167 171.822 -74.228 209.770 226.213 -72.276 261.373 280.603 -70.324 312.976 334.994 -68.372 364.579 389.384 -66.420 416.182 443.775 -64.468 467.784 498.165 -62.517 519.387 552.556 -60.565 570.990 606.946 -58.613 622.593 661.337 -56.661 674.196 715.727 -54.709 725.799 770.118 -52.757 777.402 824.508 -50.805 829.005 878.899 -48.853 880.608 933.289 -46.901 932.211 987.680 -44.949 983.814 1042.070 -42.997 1035.417 1096.460 -41.046 1087.020 1150.851 -39.094 1138.623 1205.241 -37.142 1190.226 1259.632 -35.190 1241.829 1314.022 -33.238 1293.432 1368.413 -31.286 1345.035 1422.803 -29.334 1396.638 1477.194 -27.382 1448.241 1531.584 -25.430 1499.844 1585.975 -23.478 1551.447 1640.365 -21.526 1603.050 1694.756 -19.575 1654.653 1749.146 -17.623 1706.256 1803.537 -15.671 1757.859 1857.927 -13.719 1809.462 1912.318 -11.767 1861.065 1966.708 -9.815 1912.668 2021.098 -7.863 1964.271 2075.489 -5.911 2057.156 2173.392 -2.398 1 
-84230.874 1.163 974.189 1581.729 19.156 -962.366 1547.704 14.958 -895.660 1513.679 10.761 -828.954 1479.654 6.564 -762.248 1445.629 2.366 -695.542 1411.604 -1.831 -628.836 1377.578 -6.029 -562.130 1343.553 -10.226 -495.424 1309.528 -14.423 -428.718 1275.503 -18.621 -362.013 1241.478 -22.818 -295.307 1207.453 -27.015 -228.601 1173.428 -31.213 -161.895 1139.403 -35.410 -95.189 1105.378 -39.607 -28.483 1071.353 -43.805 38.223 1037.328 -48.002 104.929 1003.303 -52.199 171.635 969.278 -56.397 238.341 935.253 -60.594 305.046 901.227 -64.791 371.752 867.202 -68.989 438.458 833.177 -73.186 505.164 799.152 -77.383 571.870 765.127 -81.581 638.576 731.102 -85.778 705.282 697.077 -89.975 771.988 663.052 -94.173 838.694 629.027 -98.370 905.399 595.002 -102.567 972.105 560.977 -106.765 1038.811 526.952 -110.962 1105.517 492.927 -115.159 1172.223 458.901 -119.357 1238.929 424.876 -123.554 1305.635 390.851 -127.751 1372.341 356.826 -131.949 1439.047 322.801 -136.146 1505.753 288.776 -140.344 1572.458 227.531 -147.899 1692.529 0 
-10256.482 1.190 1320.005 -12.828 632.597 1158.477 -76.138 623.656 1197.681 -139.447 614.715 1236.886 -202.756 605.774 1276.090 -266.066 596.833 1315.295 -329.375 587.893 1354.499 -392.684 578.952 1393.704 -455.994 570.011 1432.908 -519.303 561.070 1472.113 -582.612 552.129 1511.317 -645.922 543.189 1550.522 -709.231 534.248 1589.726 -772.540 525.307 1628.931 -835.849 516.366 1668.135 -899.159 507.425 1707.340 -962.468 498.484 1746.544 -1025.777 489.544 1785.749 -1089.087 480.603 1824.953 -1152.396 471.662 1864.158 -1215.705 462.721 1903.362 -1279.015 453.780 1942.567 -1342.324 444.840 1981.771 -1405.633 435.899 2020.976 -1468.943 426.958 2060.180 -1532.252 418.017 2099.385 -1595.561 409.076 2138.589 -1658.871 400.135 2177.794 -1722.180 391.195 2216.998 -1785.489 382.254 2256.203 -1848.799 373.313 2295.407 -1912.108 364.372 2334.612 -1975.417 355.431 2373.816 -2038.727 346.491 2413.021 -2102.036 337.550 2452.225 -2165.345 328.609 2491.430 -2228.654 319.668 2530.634 -2291.964 310.727 2569.839 -2355.273 301.786 2609.043 -2418.582 292.846 2648.247 -2532.539 276.752 2718.816 0 
-25319.375 0.904 1078.191 -603.475 -893.365 -14.602 -667.514 -930.107 -1.408 -731.552 -966.850 11.785 -795.591 -1003.592 24.979 -859.630 -1040.334 38.172 -923.668 -1077.076 51.366 -987.707 -1113.818 64.560 -1051.745 -1150.561 77.753 -1115.784 -1187.303 90.947 -1179.822 -1224.045 104.141 -1243.861 -1260.787 117.334 -1307.899 -1297.530 130.528 -1371.938 -1334.272 143.722 -1435.977 -1371.014 156.915 -1500.015 -1407.756 170.109 -1564.054 -1444.498 183.303 -1628.092 -1481.241 196.496 -1692.131 -1517.983 209.690 -1756.169 -1554.725 222.884 -1820.208 -1591.467 236.077 -1884.246 -1628.210 249.271 -1948.285 -1664.952 262.465 -2012.324 -1701.694 275.658 -2076.362 -1738.436 288.852 -2140.401 -1775.178 302.046 -2204.439 -1811.921 315.239 -2268.478 -1848.663 328.433 -2332.516 -1885.405 341.627 -2396.555 -1922.147 354.820 -2460.593 -1958.890 368.014 -2524.632 -1995.632 381.207 -2588.671 -2032.374 394.401 -2652.709 -2069.116 407.595 -2716.748 -2105.858 420.788 -2780.786 -2142.601 433.982 -2844.825 -2179.343 447.176 -2908.863 -2216.085 460.369 -2972.902 -2252.827 473.563 -3036.940 -2289.570 486.757 -3152.210 -2355.706 510.505 0 
-4177704.347 1.975 938.319 -9.191 -691.018 -634.706 -41.232 -702.834 -701.480 -73.273 -714.651 -768.254 -105.314 -726.467 -835.028 -137.355 -738.284 -901.801 -169.396 -750.100 -968.575 -201.437 -761.917 -1035.349 -233.477 -773.733 -1102.123 -265.518 -785.550 -1168.897 -297.559 -797.366 -1235.671 -329.600 -809.183 -1302.445 -361.641 -820.999 -1369.219 -393.682 -832.815 -1435.993 -425.723 -844.632 -1502.766 -457.764 -856.448 -1569.540 -489.805 -868.265 -1636.314 -521.846 -880.081 -1703.088 -553.886 -891.898 -1769.862 -585.927 -903.714 -1836.636 -617.968 -915.531 -1903.410 -650.009 -927.347 -1970.184 -682.050 -939.164 -2036.958 -714.091 -950.980 -2103.731 -746.132 -962.797 -2170.505 -778.173 -974.613 -2237.279 -810.214 -986.429 -2304.053 -842.255 -998.246 -2370.827 -874.295 -1010.062 -2437.601 -906.336 -1021.879 -2504.375 -938.377 -1033.695 -2571.149 -970.418 -1045.512 -2637.923 -1002.459 -1057.328 -2704.696 -1034.500 -1069.145 -2771.470 -1066.541 -1080.961 -2838.244 -1098.582 -1092.778 -2905.018 -1130.623 -1104.594 -2971.792 -1162.664 -1116.410 -3038.566 -1194.704 -1128.227 -3105.340 -1226.745 -1140.043 -3172.114 -1284.419 -1161.313 -3292.307 1 
-4009636.576 1.050 111.896 80.820 72.139 -28.015 94.639 94.854 -98.144 108.457 117.569 -168.273 122.275 140.284 -238.402 136.094 162.999 -308.531 149.912 185.714 -378.660 163.730 208.429 -448.789 177.549 231.144 -518.918 191.367 253.859 -589.047 205.185 276.574 -659.176 219.004 299.289 -729.305 232.822 322.004 -799.434 246.640 344.719 -869.563 260.459 367.434 -939.692 274.277 390.149 -1009.821 288.095 412.864 -1079.950 301.914 435.579 -1150.079 315.732 458.294 -1220.208 329.550 481.009 -1290.337 343.369 503.724 -1360.467 357.187 526.439 -1430.596 371.005 549.154 -1500.725 384.824 571.870 -1570.854 398.642 594.585 -1640.983 412.460 617.300 -1711.112 426.279 640.015 -1781.241 440.097 662.730 -1851.370 453.915 685.445 -1921.499 467.734 708.160 -1991.628 481.552 730.875 -2061.757 495.370 753.590 -2131.886 509.189 776.305 -2202.015 523.007 799.020 -2272.144 536.825 821.735 -2342.273 550.644 844.450 -2412.402 564.462 867.165 -2482.531 578.280 889.880 -2552.660 592.099 912.595 -2622.789 605.917 935.310 -2692.918 630.790 976.197 -2819.150 1 
-86000.416 1.058 1571.543 385.313 -2007.048 -100.780 428.260 -1951.118 -75.237 471.207 -1895.188 -49.694 514.154 -1839.258 -24.152 557.101 -1783.329 1.391 600.047 -1727.399 26.934 642.994 -1671.469 52.476 685.941 -1615.539 78.019 728.888 -1559.609 103.561 771.835 -1503.680 129.104 814.782 -1447.750 154.647 857.728 -1391.820 180.189 900.675 -1335.890 205.732 943.622 -1279.961 231.275 986.569 -1224.031 256.817 1029.516 -1168.101 282.360 1072.463 -1112.171 307.902 1115.410 -1056.241 333.445 1158.356 -1000.312 358.988 1201.303 -944.382 384.530 1244.250 -888.452 410.073 1287.197 -832.522 435.616 1330.144 -776.592 461.158 1373.091 -720.663 486.701 1416.038 -664.733 512.244 1458.984 -608.803 537.786 1501.931 -552.873 563.329 1544.878 -496.943 588.871 1587.825 -441.014 614.414 1630.772 -385.084 639.957 1673.719 -329.154 665.499 1716.665 -273.224 691.042 1759.612 -217.294 716.585 1802.559 -161.365 742.127 1845.506 -105.435 767.670 1888.453 -49.505 793.212 1931.400 6.425 818.755 1974.347 62.355 844.298 2017.293 118.284 869.840 2094.598 218.958 915.817 0 
