stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-6838158.042 1.599 40.019 9.664 -4.065 -38.621 1849.522 20.497 738.390 198.067 867.716 2550.224 892.803 1499.054 3678.230 998.139 2542.453 1342.200 1 
-3641012.973 0.864 564.290 -30.680 212.276 -521.939 -591.330 1188.026 -2172.094 -2647.754 1013.711 -600.929 -3898.085 1356.848 -1288.369 -2551.786 -702.890 -1996.727 1 
-691145.451 1.424 17.843 -4.873 5.658 -16.206 1816.285 -489.008 638.102 160.602 -704.644 2623.056 855.086 -833.531 3909.417 1056.647 1318.679 2536.764 1 
-9444092.406 1.609 149.425 -149.042 4.255 9.806 -1643.545 -761.443 -1071.673 -1863.133 1822.775 -1109.342 -3167.351 2258.345 -1622.116 -3009.184 940.638 567.733 1 
-11539.446 1.594 2675.049 -2386.209 -1209.080 4.684 -4190.392 -1718.431 -684.454 -2459.049 -2140.598 -2569.143 -3102.094 -2364.754 -3869.101 -3305.958 -98.279 -2695.073 0 
-1810166.195 1.586 173.722 -281.576 -63.943 -9.180 1060.558 -1455.553 -510.703 -1295.335 -2348.824 -1126.868 -1279.824 -3785.344 -1426.558 -718.537 -2945.326 926.342 1 
-523018.195 1.679 356.066 76.735 27.202 -937.482 -1275.386 -639.578 372.709 -1690.147 -1834.169 -1891.965 -2985.130 -2523.879 -1923.001 -2878.915 27.469 -1732.865 1 
-383659.136 1.572 41.349 25.508 -31.797 6.926 1164.343 -986.356 1341.580 -1220.235 -2001.814 1443.857 -1411.105 -2843.583 2630.718 -994.051 -329.234 2877.559 1 
-480336.515 0.769 566.143 1870.464 911.429 3.492 986.942 -188.473 1417.365 -64.098 -819.060 -868.570 -1294.865 -1602.974 -712.573 -1187.077 819.338 110.590 0 
-835512.937 1.404 1244.042 30.429 -46.609 1242.796 -1521.749 493.369 2377.959 -2447.030 -551.528 191.668 -3880.675 -289.993 18.741 -2198.252 1640.219 -4.640 1 
-1078020.329 1.261 333.294 332.103 -27.609 5.520 1736.662 -58.582 -1414.228 631.108 -2403.201 -1322.927 1401.855 -3406.078 -2067.126 2393.399 -2290.240 13.393 1 
-254213.243 1.369 1769.839 -2291.390 -12.168 126.328 -1617.070 1767.340 733.017 -4208.659 1811.433 830.722 -4731.542 3172.588 996.541 -3463.632 2520.587 -1130.455 0 
-13877.073 1.734 813.276 11.440 812.400 35.963 -14.836 2342.858 1319.098 2375.203 2163.424 327.461 3345.649 2969.527 1077.178 2182.699 976.411 2187.064 0 
-51168.254 1.840 1975.808 142.610 -44.263 -2046.831 1166.869 -1753.526 -2183.739 1580.348 -390.310 -4351.342 2204.660 -1201.644 -5402.825 -154.813 -1748.543 -4571.800 0 
-9399046.060 1.862 492.143 80.602 226.946 429.189 481.656 -284.111 2317.947 2299.580 -1335.021 795.263 3094.031 -2346.545 1501.881 594.596 -2717.737 1087.334 1 
-5824576.586 1.392 241.389 -241.229 7.919 -3.815 -1417.288 1514.200 -584.700 -1889.453 -517.675 -2126.248 -2666.547 -141.255 -3312.872 -302.515 779.229 -2965.204 1 
-178937.058 0.843 994.570 -705.302 10.377 936.896 -1314.842 -1182.498 -544.637 -2811.998 935.600 -547.492 -4004.324 767.441 -1386.375 -3682.133 -665.027 711.490 0 
-881534.300 1.766 128.426 4.735 -11.909 138.580 -1754.180 893.298 -137.551 -128.363 2602.859 940.384 -829.268 3791.069 1440.914 -1268.199 1492.524 2480.549 1 
-579718.350 1.466 183.581 20.065 -58.488 -173.576 -1610.384 -834.214 680.423 -2048.644 1685.339 247.288 -3236.556 2169.349 960.200 -1187.737 1351.136 2260.079 1 
-8765166.018 1.199 867.008 893.740 805.732 65.795 167.889 203.464 1826.433 670.326 2743.011 1987.942 644.595 3223.541 3374.330 2414.900 1534.225 2619.982 1 
-2465293.751 1.975 354.228 249.077 -56.017 -249.332 292.259 -2037.406 -497.645 1546.098 -947.945 -2489.826 1784.745 -1901.468 -3579.545 -602.905 -1227.609 -2945.626 1 
-16699.590 1.714 920.579 -308.510 -891.443 338.055 -1211.185 864.836 37.912 1203.089 1029.510 -895.890 1590.973 2415.761 -1181.367 1112.107 1671.724 1221.529 0 
-172806.330 1.253 57.788 81.381 25.988 25.242 -456.748 -1774.130 -652.563 1955.726 -1291.672 -1474.164 2381.764 -2231.819 -2517.360 450.366 -606.344 -2946.712 1 
-61303.268 1.222 1154.256 1154.237 -5.346 -3.874 2386.956 -326.502 1534.532 2345.966 -2469.365 73.614 2951.087 -3616.756 759.884 806.826 -2548.247 1663.898 0 
-203846.787 1.097 1271.241 -28.915 1263.615 -135.997 1909.594 806.338 14.029 959.632 -388.381 -2083.122 1878.342 -1409.296 -2600.180 813.437 -1675.132 -286.715 0 
-203869.480 1.126 264.201 -119.315 11.039 537.566 -578.580 93.059 -1404.540 -400.339 2523.091 -515.159 -956.640 3498.659 -1459.850 -2471.249 1755.343 -353.675 1 
-10678.991 0.716 116.008 3.689 115.679 -7.921 873.084 1468.477 -1192.622 629.282 2506.040 1172.087 862.145 3954.963 1165.633 -1132.694 2956.479 -91.530 0 
-285494.963 1.155 1955.844 -1958.249 3.073 5.999 -2679.095 -1718.968 -704.200 -4592.314 32.044 -741.314 -5903.904 -588.296 -961.662 -4569.437 -1096.835 1163.755 0 
-2100553.153 0.942 652.853 -6.310 -371.235 -536.993 650.101 -2175.658 13.107 -100.284 -905.994 2146.813 360.842 -1567.084 3373.176 2047.610 -572.094 1723.443 1 
-34313.900 1.382 48.876 -41.390 21.946 13.933 809.408 1375.816 1210.848 2098.941 -858.927 1477.032 2989.128 -846.777 2643.678 450.899 -699.003 2947.597 1 
-2127457.970 0.901 1952.885 -73.447 2820.886 769.243 1405.467 1579.820 1281.097 2258.096 4012.330 1570.481 3714.427 4069.867 1742.042 2699.524 3239.160 -457.209 0 
-91196.486 1.565 329.068 -72.311 -1966.457 -20.468 662.388 -112.051 -124.511 1867.407 -1557.715 -1909.394 3056.317 -888.813 -2450.417 2963.019 -1574.007 15.068 0 
-12531.513 0.800 124.941 4.088 -95.374 -201.477 -1221.063 -649.786 1275.365 -1872.831 -1979.115 -854.403 -3173.615 -2643.764 -713.528 -3015.297 -88.056 -703.242 0 
-398123.215 1.215 1540.550 -1725.424 -2360.845 -67.203 -1485.215 -767.825 -1247.887 -3542.449 -2098.825 -2098.798 -3970.288 -1660.372 -3432.349 -1682.424 -2761.699 -3101.337 0 
-20940.025 0.576 491.700 491.650 3.635 5.973 870.336 1920.356 -409.006 -609.243 1833.656 1719.644 -1163.175 3149.160 2060.604 -1842.424 1980.052 -113.935 0 
-1606790.963 1.326 223.486 -223.067 4.059 13.068 -517.322 -1731.029 -931.555 1913.106 -958.081 -1404.204 2532.188 -1719.968 -2495.035 514.379 -210.518 -2949.808 1 
-152441.839 1.780 1270.021 -20.782 4.686 -1427.284 1678.100 725.532 -663.341 111.018 2728.048 -1175.208 820.951 4011.416 -1124.166 1420.510 2267.484 -2900.691 0 
-20283.350 0.983 2084.999 -2885.616 -12.818 7.086 -2766.497 1391.679 -1408.057 -2566.429 -926.467 -2554.355 -2097.448 -817.906 -3940.686 -577.137 -127.073 -1999.497 0 
-68113.144 1.274 151.893 337.703 4.573 49.630 -1509.812 698.424 357.342 -253.802 2392.418 -1152.839 -965.600 3671.462 -1257.891 -18.907 2895.080 991.067 1 
-821008.264 1.935 1921.028 76.208 -1922.338 -99.553 993.897 -1608.826 1646.581 2493.355 -643.203 -236.774 3846.556 -333.654 239.324 3006.930 -2752.409 201.030 0 
-79448.197 0.995 2180.905 2180.899 3.070 4.452 4002.573 -802.270 153.984 2476.211 -1927.348 1923.798 3246.526 -2696.986 2907.626 3507.033 -154.009 2758.576 0 
-7444417.381 1.410 22.319 -7.498 -102.460 -24.520 -724.342 1581.981 774.368 -2706.510 -56.128 434.610 -4005.279 612.233 576.515 -2423.287 1244.766 -1335.034 1 
-1295066.289 1.499 273.858 -6.896 -9.078 -276.066 -792.213 -1784.275 -746.575 4.381 -648.896 -2938.418 -521.251 -1322.658 -4131.481 -2108.626 -154.917 -2496.418 1 
-87359.377 1.464 9.706 -4.460 6.730 -5.388 -1881.058 662.788 187.992 -334.465 2228.169 1561.112 -1093.622 3097.391 2467.631 -1096.656 558.452 2800.181 1 
-1464309.938 1.932 236.628 31.037 231.570 -37.484 2022.003 387.042 -73.686 1410.574 -1881.589 1025.083 2560.874 -2497.011 1697.176 1601.419 -277.556 2539.955 1 
