stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-575574.397 1.849 645.987 -768.561 -751.798 -220.852 348.196 -503.533 -360.809 1283.314 -779.972 -536.191 711.945 -1765.470 -657.487 97.482 -2715.509 -869.348 -133.846 -3721.215 -1338.708 339.937 -4579.116 -1877.731 808.947 -4318.188 -1041.894 754.066 -3778.148 -25.924 574.195 -3206.637 1019.823 1 
-11867.166 0.867 835.866 -5.952 -1303.317 -46.917 -354.387 -445.212 639.100 -405.455 -11.203 1528.286 276.388 -908.333 1734.754 1036.187 -1759.898 1884.978 1911.487 -2300.619 2361.136 2554.282 -2314.985 3276.352 1579.431 -2313.683 3466.985 514.063 -2517.026 3079.052 -547.751 -2785.202 2575.862 0 
-1025630.353 1.861 398.582 323.134 -4.632 -394.751 535.753 -13.608 737.981 324.339 271.672 1662.937 -535.977 733.439 1063.763 -1437.423 1098.509 448.017 -2510.510 1413.036 261.436 -3443.057 1740.926 784.750 -2630.465 2245.570 1052.531 -1553.866 2561.385 791.678 -448.645 2847.198 405.203 1 
-5586735.383 1.959 103.925 100.760 -43.182 -10.054 -296.985 399.771 -996.948 -1013.611 831.044 -1528.056 -1474.787 797.624 -479.924 -1867.757 838.865 601.232 -2476.085 1234.571 1472.214 -3345.986 1892.073 1721.164 -3537.425 1217.427 1017.686 -3240.338 221.380 521.219 -2852.990 -838.346 97.538 1 
-40877.841 0.873 898.513 -304.186 -23.664 -903.381 595.201 695.452 -854.952 1154.026 1413.803 -1246.501 304.158 1324.164 -2009.436 -613.569 1277.649 -2702.716 -1376.522 1666.785 -3445.503 -1565.206 2496.175 -4171.811 -682.158 2054.972 -4282.463 -28.523 1127.573 -4083.609 551.753 99.837 -3839.471 0 
-12500.151 1.351 3216.316 -303.435 -2358.666 2549.579 786.346 -2031.156 2366.591 1736.337 -1983.331 2643.817 1274.958 -2630.721 3468.679 801.684 -3358.350 4224.716 777.086 -4207.856 4975.042 1434.696 -4837.462 5624.780 1589.623 -3860.783 5718.453 1180.501 -2794.269 5570.071 642.503 -1730.593 5391.977 0 
-7814073.738 1.907 1417.769 386.179 3.912 -2801.355 -147.461 288.203 -1820.144 -921.796 229.385 -1204.863 -1207.333 -516.100 -2026.509 -1417.066 -1328.328 -2814.748 -1858.093 -2287.726 -3227.433 -2646.936 -3056.841 -3034.562 -2978.982 -2121.112 -3005.664 -2809.555 -1021.215 -3302.933 -2542.041 88.938 -3688.372 1 
-136733.048 1.884 115.388 -235.371 23.400 -5.586 762.269 -132.975 -561.132 1432.734 144.651 -1235.688 678.758 1006.306 -1273.792 -43.313 1900.893 -1215.905 -366.475 2983.902 -1304.873 -73.526 3963.064 -1759.222 -76.918 3204.636 -2400.668 -449.993 2143.010 -2646.870 -918.350 1044.421 -2809.077 1 
-11770.080 1.378 403.452 -97.374 1270.758 57.434 -145.683 187.559 -333.355 -489.290 -740.127 -278.974 -1078.239 -213.989 550.905 -1723.322 365.553 1307.889 -2636.849 585.850 1942.076 -3569.663 119.955 2346.812 -2747.301 -411.913 2512.692 -1597.752 -425.147 2584.876 -399.758 -315.285 2657.730 0 
-47152.871 1.823 886.236 24.756 18.786 -885.691 176.204 131.051 -2022.718 583.806 585.178 -2803.266 1082.102 1122.068 -1922.452 1636.626 1571.445 -1019.353 2492.263 2069.677 -467.170 3431.505 2655.141 -628.627 2642.465 3015.075 -1112.923 1494.807 3061.025 -1200.208 289.760 3053.777 -1180.831 0 
