stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-287810.331 1.323 2565.193 -2660.295 6.903 4.079 -1860.609 2589.753 1268.839 0 
-10854.426 0.877 831.212 -1235.066 47.258 36.557 886.822 -2014.347 -360.430 0 
-543694.616 1.041 294.268 -79.944 -11.268 282.976 -2235.027 1995.513 771.515 1 
-233228.815 0.844 302.808 -7.234 189.941 235.718 -2523.401 -774.469 1519.869 1 
-653973.909 1.638 56.054 -25.776 -12.629 48.147 522.263 1552.225 2530.305 1 
-424910.572 1.880 1565.781 41.540 1541.580 271.059 461.420 4471.588 -114.921 0 
-830778.264 1.760 274.825 284.726 -68.751 -85.461 -552.410 -1101.682 2587.081 1 
-100672.092 1.725 25.695 -6.020 44.692 9.061 -404.569 -2773.975 907.113 1 
-406633.005 0.964 540.489 226.615 17.314 490.382 2242.889 2195.063 170.582 1 
-465181.179 1.136 3805.323 2734.135 -256.431 2634.242 2840.822 105.564 5595.290 0 
-6624364.811 1.349 744.499 -85.481 743.575 223.656 -2164.520 176.109 -1841.726 1 
-1474227.252 1.383 2524.229 2467.789 -3.647 -530.791 5427.857 -384.575 -474.950 0 
-756504.330 1.535 507.535 4.069 -562.978 259.652 -1842.745 307.409 -1917.944 1 
-2477998.324 0.983 2084.474 69.261 -2000.700 -580.890 1556.198 -2804.796 -3041.108 0 
-161217.127 0.694 123.208 -225.647 -46.685 -56.720 1992.076 1938.814 166.272 1 
-1928039.155 1.352 1516.385 -1513.802 76.263 44.854 -2599.089 -1540.965 -2217.214 1 
-326900.292 0.762 69.331 60.319 8.251 39.270 860.980 -260.028 -2823.804 1 
-707732.060 1.322 1781.963 -31.787 -1777.605 -120.416 514.636 -3032.795 -2772.990 0 
-116196.123 1.350 299.666 8.920 311.424 5.125 2850.317 -591.897 148.979 1 
-112002.328 0.557 803.497 3.774 315.648 738.891 -415.075 3270.864 700.297 0 
-170464.417 0.669 1378.766 524.178 1275.148 15.264 -1757.250 2649.044 -1332.964 0 
-20613.203 1.961 185.081 1542.131 -12.620 -4.012 -1422.590 -47.576 -349.603 0 
-1239456.914 1.155 590.077 589.672 -20.476 -7.622 2877.168 145.901 -1918.094 1 
-6870930.404 1.933 3269.694 2783.002 -1669.562 397.949 4816.453 -1411.026 2567.847 1 
-255946.000 0.872 2934.854 -149.312 -2861.891 632.971 1731.554 -4246.019 2492.208 0 
-326017.314 0.726 234.654 -184.388 8.141 -144.904 -1219.948 -987.187 -2761.613 1 
-3091330.940 1.564 572.350 -17.306 -47.282 613.732 -118.804 2800.605 -274.785 1 
-563005.541 1.361 49.709 10.783 70.035 33.411 441.000 -1338.465 -2562.984 1 
-1243105.901 0.559 31.536 64.694 26.332 10.407 -2836.953 -268.296 645.911 1 
-6279549.815 0.682 1191.349 -15.415 3.708 1191.244 416.366 -1767.967 3554.495 1 
-695708.975 1.220 507.500 -46.845 -992.382 76.042 431.062 1436.421 -1592.116 1 
-1214040.953 1.055 258.064 257.090 20.226 -9.634 1628.617 -2629.764 -91.407 1 
-15904.049 1.427 1487.948 1466.027 -117.797 225.564 3301.796 1195.405 2178.940 0 
-2218645.582 1.806 948.776 -389.362 865.038 -16.795 1933.725 2549.762 -838.502 1 
-810637.411 1.427 58.436 293.537 -28.925 -429.804 -1488.708 -172.193 1960.447 1 
-2220232.941 1.380 1934.635 -2155.465 281.492 -215.437 -1095.974 -268.047 2520.566 0 
-11643.518 0.967 654.582 -43.511 -3.458 -653.125 482.939 -2359.485 -2408.748 0 
-86948.837 1.187 1004.153 60.984 -322.385 949.609 2564.718 -1762.379 195.982 0 
-82144.283 1.824 1180.744 -6.868 1248.887 154.978 -2586.937 77.405 1093.648 0 
-5917590.613 1.212 91.266 -85.926 -30.609 3.039 -281.820 -1493.757 2597.465 1 
-975371.184 1.916 2473.542 928.384 -2291.583 -71.831 -817.570 -4560.626 772.749 0 
-1419620.744 1.458 2005.982 28.833 2005.364 -40.597 -2321.025 3844.792 -110.570 0 
-451600.851 0.965 2560.968 148.876 -2552.261 -149.532 662.644 -4260.800 2243.617 0 
-61173.265 1.238 350.018 -55.438 345.527 -7.121 -264.990 3301.152 -368.497 0 
-32053.047 1.564 172.842 -170.993 -52.849 -15.891 788.926 -1157.647 2585.685 1 
-16358.782 1.810 2360.931 746.231 2178.792 519.615 3036.701 3802.195 -494.551 0 
-549639.231 1.052 2468.258 -18.208 -2468.051 26.271 877.897 -2917.178 -2785.402 0 
-3850155.145 1.489 138.526 3.179 7.270 -138.298 -2233.919 -1765.298 -1012.152 1 
-357589.742 1.670 2903.613 62.819 -36.177 2998.677 2143.928 1960.924 2230.042 0 
-14821.881 0.724 2433.583 -207.333 2424.694 -14.076 -632.154 4806.375 1734.450 0 
-14197.430 0.581 150.954 -151.513 -3.776 8.065 26.988 -811.681 -2859.975 0 
-346769.910 1.032 504.133 -30.782 468.522 183.546 2481.439 1516.504 -1041.487 1 
-6208061.243 1.390 356.115 5.999 -356.031 4.927 -2070.555 -2500.185 32.317 1 
-2286785.247 1.782 1854.044 -1841.275 -200.728 -83.033 -3343.522 1797.654 1547.902 1 
-92732.675 1.286 298.822 -291.702 57.700 29.578 -2933.598 1443.650 -69.185 1 
-1661103.494 0.814 2503.438 79.738 -2502.160 6.073 1205.545 -3090.053 2707.399 0 
-168463.487 1.322 2753.207 2750.544 -5.923 120.930 4784.155 1878.717 1226.724 0 
-2612735.166 1.876 87.343 65.643 10.914 56.575 2518.029 396.919 1713.990 1 
-146756.743 0.635 14.417 -7.781 11.674 -3.322 -1634.932 -1852.304 -1673.108 1 
-3188664.762 0.877 2196.793 2196.710 -18.838 3.433 3126.647 -1415.009 -2465.605 0 
-12879.517 1.049 2580.173 27.762 -27.725 2584.706 -2916.837 -491.661 2428.754 0 
-428440.069 1.755 366.356 -171.197 317.198 65.529 -483.978 1984.461 2521.670 1 
